Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.empty-fortress,Diamond Body,2,1,talent,Empty Fortress,1,65,master-monk.ability.evasion,Reduce incoming damage by 10% while unarmed and unarmored.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.purity-body-2,Diamond Body,2,2,ability,Purity Body II,1,70,master-monk.talent.empty-fortress,"Further meditation and perserverance, the monk masters control over their body, increasing resistance against poison magic by 100% and gaining immunity to stone status."
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.reflecting-soul,Diamond Body,2,3,talent,Reflecting Soul,1,75,master-monk.ability.purity-body-2,Inherited Mirror Breath lasts one additional turn.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.rooted-recovery,Diamond Body,2,4,talent,Rooted Recovery,1,80,master-monk.talent.reflecting-soul,Successful dodge and parry reactions gain one additional Ki.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.martial-mastery,Rope-a-Dope,3,0,ability,Martial Mastery,1,,,Improves Ki discipline and readies the Dim Mak finisher.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.ability.rope-a-dope,Rope-a-Dope,3,1,ability,Rope-a-Dope,2,65,master-monk.ability.martial-mastery,"Challenge a target, enter an escalating dodge stance, and answer three consecutive dodges with a four-hit combination. A hit ends the stance."
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.goading-smile,Rope-a-Dope,3,2,talent,Goading Smile,1,70,master-monk.ability.rope-a-dope,Rope-a-Dope's Berserk challenge chance rises from 50% to 75%.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.slip-the-rope,Rope-a-Dope,3,3,talent,Slip the Rope,1,75,master-monk.talent.goading-smile,Rope-a-Dope begins with 15 dodge points instead of 10.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.rolling-shoulders,Rope-a-Dope,3,4,talent,Rolling Shoulders,1,80,master-monk.talent.slip-the-rope,Each consecutive Rope-a-Dope dodge adds seven dodge points instead of five.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.championship-round,Rope-a-Dope,3,5,talent,Championship Round,1,85,master-monk.talent.rolling-shoulders,Increase each hit of the Rope-a-Dope combination by 10% weapon damage.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.second-wind,Rope-a-Dope,3,6,talent,Second Wind,1,90,master-monk.talent.championship-round,Completing the Rope-a-Dope combination restores 10% maximum HP.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.decisive-pressure,Dim Mak Mastery,4,0,talent,Decisive Pressure,1,65,master-monk.ability.hadouken,Dim Mak gains 15% damage per spent Ki instead of 12%.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.death-point-focus,Dim Mak Mastery,4,1,talent,Death-Point Focus,1,75,master-monk.ability.suplex,Dim Mak gains 10 additional accuracy points.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.flexible-form,Dim Mak Mastery,4,2,talent,Flexible Form,1,85,master-monk.ability.suplex,An ordinary staff retains 90% of Dim Mak's power instead of 80%.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.essence-mastery,Dim Mak Mastery,4,3,talent,Essence Mastery,1,90,master-monk.ability.suplex,"A lethal Dim Mak restores 125% of the target's maximum HP and MP, still capped by your maxima."
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.inner-reserve,Dim Mak Mastery,4,4,talent,Inner Reserve,1,85,master-monk.talent.rooted-recovery,A damaging Dim Mak can trigger its once-per-combat Ki refund without an awakened ring.
Master Monk,Second Promotion,Monk,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff.",master-monk.talent.perfect-recovery,Dim Mak Mastery,4,5,talent,Perfect Recovery,1,90,master-monk.talent.rooted-recovery,"When Martial Master or Inner Reserve enables Dim Mak's once-per-combat Ki refund, it restores two Ki instead of one."
