Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.boost,Runic Constellations,1,3,ability,Boost,1,75,astromancer.ability.weakenmind,"Supercharge the magic capabilities of the target, increasing magic damage."
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.learnspell2,Runic Constellations,1,4,ability,Learn Spell,1,80,astromancer.ability.boost,Permanently learn explicitly ranked hostile spells up to rank 2 after witnessing them resolve successfully.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.active-sign,Runic Constellations,1,5,talent,Active Sign,1,85,astromancer.ability.learnspell2,Increase Magic by 10% while cycling the active constellation.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.celestial-runes,Runic Constellations,1,6,talent,Celestial Runes,2,90,astromancer.talent.active-sign,Increase Magic by 10% after completing the runic discipline.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.wormhole,Celestial Force,2,0,ability,Wormhole,1,,,Send a spell two turns into the future.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.astral-anchor,Celestial Force,2,1,talent,Astral Anchor,1,65,astromancer.ability.wormhole,Increase Magic Defense by 10% while opening a Wormhole.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.triplecast,Celestial Force,2,2,ability,Triplecast,1,70,astromancer.talent.astral-anchor,Cast multiple spells in a single turn.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.meteor-logic,Celestial Force,2,3,talent,Meteor Logic,1,75,astromancer.ability.triplecast,Increase Magic by 10% for celestial area pressure.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.astral-judgment,Celestial Force,2,4,talent,Celestial Mastery,1,80,astromancer.talent.meteor-logic,Increase Magic by 10% after completing the celestial discipline.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.access-storage,Lucid Utility,3,0,ability,Access Storage,1,,,Move one item between dungeon inventory and storage for MP equal to its weight.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.weightless-reach,Lucid Utility,3,1,talent,Weightless Reach,1,65,astromancer.ability.access-storage,Increase Magic Defense by 10% while reaching beyond the dungeon.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.silent-lucidity,Lucid Utility,3,2,ability,Silent Lucidity,1,70,astromancer.talent.weightless-reach,"Passive: While asleep, you may still cast Time and Divination spells."
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.dream-calculus,Lucid Utility,3,3,talent,Dream Calculus,1,75,astromancer.ability.silent-lucidity,Increase Magic by 10% while lucid spellcasting is available.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.sleepwalker-ward,Lucid Utility,3,4,talent,Sleepwalker Ward,1,80,astromancer.talent.dream-calculus,Increase Defense by 10% against waking threats.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.remote-cache,Lucid Utility,3,5,talent,Remote Cache,1,85,astromancer.talent.sleepwalker-ward,Increase Magic Defense by 10% for remote dungeon utility.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.talent.lucid-horizon,Lucid Utility,3,6,talent,Lucid Horizon,1,90,astromancer.talent.remote-cache,Increase Magic by 10% after completing the lucid discipline.
Astromancer,Second Promotion,Diviner,Astral Judgment,0,3,2,1,1,0,1,1,4,4,Dagger; Staff,Rod,Cloth,Cloth,"Classified among the forbidden arts, astromancers study the celestial forces that govern magic, destiny, and the hidden threads of fate. Through careful observation they learn rank-one and rank-two hostile spells that resolve while they are present. Authored divination and time actions build Foresight Threads; those who master the stars spend them to bend probability itself, turning fortune against their enemies and ensuring destiny unfolds according to their design.",astromancer.ability.tephra,Witnessed Magic,4,4,ability,Tephra,1,80,astromancer.ability.learnspell2,Passive: Vulcanize scatters debris that damages other nearby enemies.
