Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.cornered-prey,Pack Tactics,1,4,talent,Cornered Prey,1,80,beast-master.talent.crippling-harrier,Your companion deals 25% more damage to a wounded favored enemy.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.cover,Commands,2,0,ability,Cover,1,,,"You stand in the way in the face of attack, protecting your master from harm."
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.guardpartner,Commands,2,1,ability,Guard Partner,1,65,beast-master.ability.cover,Order the tamed companion to guard partner.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.beast-master-bonded-bulwark,Commands,2,2,talent,Bonded Bulwark,1,70,beast-master.ability.guardpartner,Increase the companion's bond-derived combat bonus by 10 percentage points.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.mendwounds,Commands,2,3,ability,Mend Wounds,1,75,beast-master.talent.beast-master-bonded-bulwark,Order the tamed companion to mend wounds.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.field-dressing,Commands,2,4,talent,Field Dressing,1,80,beast-master.ability.mendwounds,Mend Wounds also removes one harmful physical condition.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.guardian-pack,Commands,2,5,talent,Guardian Pack,1,85,beast-master.talent.field-dressing,Strengthen Guard Partner and let Mend Wounds restore both partners.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.ability.rally-partner,Commands,3,0,ability,Rally Partner,1,,,Order the tamed companion to rally partner.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.commanders-voice,Commands,3,1,talent,Commander's Voice,1,65,beast-master.ability.rally-partner,"Increase the damage, healing, protection, and pressure of companion commands by 15%."
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.adaptive-orders,Commands,3,2,talent,Adaptive Orders,1,70,beast-master.talent.commanders-voice,Commands used against your quarry gain one turn of duration.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.perfect-coordination,Commands,3,3,talent,Perfect Coordination,1,75,beast-master.talent.adaptive-orders,Pack Strike triggers the companion's species trait even when its weapon attack misses.
Beast Master,Second Promotion,Ranger,Pack Bond,2,0,0,1,2,2,4,2,1,3,Dagger; Sword; Longsword; Battle Axe; Polearm,Dagger; Crossbow,Light,Light,"The Beast Master is the pinnacle of the Ranger's journey, embodying an unbreakable bond with the wild. Beast Masters thrive in harmony with their companion, fighting as one unified force. With heightened instincts and the ability to channel primal energy, they inspire and protect their allies, making them guardians of the natural world and champions of untamed strength.",beast-master.talent.true-bond,Commands,3,4,talent,True Bond,1,80,beast-master.talent.perfect-coordination,Increase the companion's bond-derived combat bonus by a further 10 percentage points.
